,kpm,okpm,a,k,d,performance
47,0.025630072618539,0.025630072618539,7.0,1.0,1.0,C
48,0.025630072618539,0.0,4.0,1.0,0.0,B
49,0.0,0.0,8.0,0.0,0.0,B
50,0.099502487562189,0.033167495854063,5.0,3.0,1.0,C
51,0.066334991708126,0.033167495854063,8.0,2.0,1.0,C
52,0.099502487562189,0.0,3.0,3.0,1.0,C
53,0.132669983416252,0.066334991708126,3.0,4.0,2.0,C
54,0.033167495854063,0.033167495854063,9.0,1.0,0.0,B
55,0.033167495854063,0.099502487562189,1.0,1.0,3.0,C
56,0.033167495854063,0.066334991708126,3.0,1.0,3.0,C
57,0.0,0.099502487562189,3.0,0.0,1.0,C
58,0.066334991708126,0.132669983416252,1.0,2.0,2.0,C
59,0.033167495854063,0.033167495854063,2.0,1.0,4.0,C
60,0.0577478344562078,0.1154956689124157,3.0,2.0,4.0,C
61,0.1443695861405197,0.0866217516843118,5.0,5.0,4.0,C
62,0.0288739172281039,0.1443695861405197,3.0,1.0,4.0,C
63,0.1154956689124157,0.1443695861405197,5.0,4.0,2.0,C
64,0.0,0.0,8.0,0.0,3.0,C
65,0.1154956689124157,0.0577478344562078,6.0,4.0,0.0,C
66,0.0866217516843118,0.1443695861405197,9.0,3.0,2.0,C
67,0.1443695861405197,0.0288739172281039,6.0,5.0,2.0,C
68,0.1443695861405197,0.1154956689124157,4.0,5.0,4.0,C
69,0.0,0.0,12.0,0.0,4.0,B
70,0.0,0.0291970802919708,0.0,0.0,1.0,B
71,0.0,0.0291970802919708,3.0,0.0,2.0,C
72,0.0,0.1167883211678832,2.0,0.0,2.0,C
73,0.0583941605839416,0.0291970802919708,0.0,2.0,1.0,B
74,0.0291970802919708,0.0,2.0,1.0,1.0,B
75,0.0291970802919708,0.0,2.0,1.0,1.0,B
76,0.0291970802919708,0.0,4.0,1.0,1.0,C
77,0.1167883211678832,0.0,2.0,4.0,1.0,B
78,0.0291970802919708,0.0583941605839416,3.0,1.0,1.0,C
79,0.0,0.0291970802919708,6.0,0.0,1.0,C
